market_id,slug,title,description
1058523,over-80m-committed-to-the-infinex-public-sale-246-898-654,Over $80M committed to the Infinex public sale?,This market will resolve to “Yes” if total commitments for the Infinex raise on Sonar exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://infinex.xyz/sale  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
1058518,over-5m-committed-to-the-infinex-public-sale-117-376,Over $5M committed to the Infinex public sale?,This market will resolve to “Yes” if total commitments for the Infinex raise on Sonar exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://infinex.xyz/sale  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
1139591,over-15m-committed-to-the-trove-public-sale,Over $15M committed to the Trove public sale?,This market will resolve to “Yes” if total commitments for the Trove raise exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://trovemarkets.com/ico  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
690681,ranger-fdv-above-50m-one-day-after-launch,Ranger FDV above $50M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Ranger's token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Ranger (https://x.com/ranger_finance/) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
706858,will-theo-launch-a-token-by-december-31-2025,Will Theo launch a token by December 31 2025?,This market will resolve to “Yes” if Theo (https://x.com/Theo_Network officially launches a governance token by 11:59 PM ET on the date specified in the title. Otherwise  this market will resolve to “No”.  The token must be actively and publicly transferable and tradable. Announcements alone do not qualify.  The primary resolution source for this market will be information from Theo  however a consensus of credible reporting will also be used.
690694,zama-fdv-above-800m-one-day-after-launch-122-384-527-991,Zama FDV above $800M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Zama's token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Zama doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
788170,will-paradex-launch-a-token-by-december-31-2025,Will Paradex launch a token by December 31 2025?,This market will resolve to “Yes” if Paradex (https://www.paradex.trade/) officially launches a governance token by 11:59 PM ET on the date specified in the title. Otherwise  this market will resolve to “No”.  The token must be actively and publicly transferable and tradable. Announcements alone do not qualify.  The primary resolution source for this market will be information from Paradex  however a consensus of credible reporting will also be used.
686166,infinex-fdv-above-1b-one-day-after-launch-265-983-979-783-542-259,Infinex FDV above $1B one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Infinex's token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Infinex (https://infinex.xyz/) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
701597,will-xrp-reach-2pt40-by-december-31-2026,Will XRP reach $2.40 by December 31  2026?,This market will immediately resolve to “Yes” if any Binance 1-minute candle for XRP (XRP/USDT) between November 24  2025  14:30 and December 31  2026  23:59 in the ET timezone has a final “High” price equal to or greater than the price specified in the title. Otherwise  this market will resolve to “No.”  The resolution source for this market is Binance  specifically the XRP/USDT “High” prices available at: https://www.binance.com/en/trade/XRP_USDT with the chart set to “1m” (one-minute candles) on the top bar.  Please note that the outcome of this market depends solely on the price data from the Binance XRP/USDT trading pair. Prices from other exchanges  different trading pairs  or spot markets will not be considered for the resolution of this market.
1273014,will-the-ethereum-volatility-index-hit-80-in-2026,Will the Ethereum Volatility Index hit 80 in 2026?,This market will immediately resolve to "Yes" if any Volmex 1 minute candle for the Ethereum Volmex Implied Volatility 30 Day Index between January 26  2026  11:30 and December 31  2026  23:59 in the ET timezone has a final "High" value equal to or greater than the value specified in the title. Otherwise  this market will resolve to "No."  The resolution source for this market is Volmex  specifically the Ethereum Volmex Implied Volatility 30 Day Index "High" values available at https://charts.volmex.finance/symbol/EVIV  with the chart settings on "1m" for one-minute candles selected on the top bar.  Please note that the outcome of this market depends solely on the data from the Ethereum Volmex Implied Volatility 30 Day Index chart. Values from other exchanges or different indexes will not be considered for the resolution of this market.
701834,will-chainlink-dip-to-10-by-december-31-2026,Will Chainlink dip to $10 by December 31  2026?,This market will immediately resolve to “Yes” if any Binance 1-minute candle for Chainlink (LINK/USDT) between November 24  2025  17:35 and December 31  2026  23:59 in the ET timezone has a final “Low” price equal to or lower than the price specified in the title. Otherwise  this market will resolve to “No.”  The resolution source for this market is Binance  specifically the LINK/USDT “Low” prices available at: https://www.binance.com/en/trade/LINK_USDT with the chart set to “1m” (one-minute candles) on the top bar.  Please note that the outcome of this market depends solely on the price data from the Binance LINK/USDT trading pair. Prices from other exchanges  different trading pairs  or spot markets will not be considered.
1058132,brevis-fdv-above-800m-one-day-after-launch,Brevis FDV above $800M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Brevis's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Brevis (https://x.com/brevis_zk) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1271638,over-5m-committed-to-the-fabric-public-sale,Over $5M committed to the Fabric public sale?,This market will resolve to “Yes” if total commitments for the Fabric raise on Kaito exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://kaito.ai/capital-launchpad/73ca8145db584058aaa4?projectName=Fabric  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
1143795,will-tria-launch-a-token-by-june-30-2026,Will Tria launch a token by June 30  2026?,This market will resolve to “Yes” if Tria officially launches a governance token by 11:59 PM ET on the date specified in the title. Otherwise  this market will resolve to “No”.  The token must be actively and publicly transferable and tradable. Announcements alone do not qualify.  The primary resolution source for this market will be information from Tria (https://x.com/useTria)  however a consensus of credible reporting will also be used.
1271639,over-7m-committed-to-the-fabric-public-sale,Over $7M committed to the Fabric public sale?,This market will resolve to “Yes” if total commitments for the Fabric raise on Kaito exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://kaito.ai/capital-launchpad/73ca8145db584058aaa4?projectName=Fabric  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
701718,will-dogecoin-dip-to-0pt14-by-december-31-2026,Will Dogecoin dip to $0.14 by December 31  2026?,This market will immediately resolve to “Yes” if any Binance 1-minute candle for Dogecoin (DOGE/USDT) between November 24  2025  15:45 and December 31  2026  23:59 in the ET timezone has a final “Low” price equal to or lower than the price specified in the title. Otherwise  this market will resolve to “No.”  The resolution source for this market is Binance  specifically the DOGE/USDT “Low” prices available at: https://www.binance.com/en/trade/DOGE_USDT with the chart settings on “1m” (one-minute candles) selected on the top bar.  Please note that the outcome of this market depends solely on the price data from the Binance DOGE/USDT trading pair. Prices from other exchanges  different trading pairs  or spot markets will not be considered for the resolution of this market.
690700,sentient-fdv-above-400m-one-day-after-launch,Sentient FDV above $400M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Sentient's token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Sentient doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1139592,over-25m-committed-to-the-trove-public-sale,Over $25M committed to the Trove public sale?,This market will resolve to “Yes” if total commitments for the Trove raise exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://trovemarkets.com/ico  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
1122924,over-14m-committed-to-the-space-public-sale,Over $14M committed to the Space public sale?,This market will resolve to “Yes” if total commitments for the Space raise on exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://public.into.space/  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
1059049,lighter-fdv-above-6b-one-day-after-launch,Lighter FDV above $6B one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Lighter's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Lighter doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1176480,zama-auction-clearing-price-above-0pt16,Zama auction clearing price above $0.16?,This market will resolve to “Yes” if the auction clearing price for the Zama public sale is greater than the price specified in the title. Otherwise  this market will resolve to “No.”  The resolution source is the official raise page available at https://auction.zama.org/register  If the final auction clearing price cannot be verified by December 31  2026  11:59 PM ET  or if the relevant information becomes permanently unavailable  this market will resolve to “No.”
701738,will-hyperliquid-dip-to-32-by-december-31-2026,Will Hyperliquid dip to $32 by December 31  2026?,This market will immediately resolve to “Yes” if any Binance 1-minute candle for Hyperliquid (HYPEUSDT) between November 24  2025  15:45 and December 31  2026  23:59 in the ET timezone has a final “Low” price equal to or lower than the price specified in the title. Otherwise  this market will resolve to “No.”  The resolution source for this market is Binance  specifically the HYPEUSDT “Low” prices available at: https://www.binance.com/en/futures/HYPEUSDT with the chart settings on “1m” (one-minute candles) selected on the top bar.  Please note that the outcome of this market depends solely on the price data from the Binance HYPEUSDT trading pair. Prices from other exchanges  different trading pairs  or spot markets will not be considered for the resolution of this market.
1163221,over-26m-committed-to-the-space-public-sale,Over $26M committed to the Space public sale?,This market will resolve to “Yes” if total commitments for the Space raise on exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://public.into.space/  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
690696,zama-fdv-above-2b-one-day-after-launch-318-543-359-149,Zama FDV above $2B one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Zama's token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Zama doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
989407,kodiak-fdv-above-100m-one-day-after-launch,Kodiak FDV above $100M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Kodiak's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Kodiak (https://x.com/kodiakfi) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1175408,owlto-fdv-above-900m-one-day-after-launch,Owlto FDV above $900M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Owlto's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Owlto (https://x.com/Owlto_Finance) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1122925,over-16m-committed-to-the-space-public-sale,Over $16M committed to the Space public sale?,This market will resolve to “Yes” if total commitments for the Space raise on exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://public.into.space/  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
1261293,moonbirds-fdv-above-300m-one-day-after-launch,Moonbirds FDV above $300M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Moonbirds's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Moonbirds doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1175342,trove-fdv-above-10m-one-day-after-launch-824-117,Trove FDV above $10M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Trove's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Trove doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1221682,trove-fdv-above-2m-one-day-after-launch,Trove FDV above $2M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Trove's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Trove doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
906480,will-almanak-fdv-above-50m-one-day-after-launch,Will Almanak FDV above $50M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Almanak's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Almanak (https://x.com/almanak) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1223568,over-4m-committed-to-the-sol-raffle-public-sale,Over $4M committed to the Sol Raffle public sale?,This market will resolve to “Yes” if total commitments for the Sol Raffle raise on SagaPad exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://sagapad.com/project/sol-raffle  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
1059080,lighter-airdrop-before-january-1,Lighter Airdrop before January 1?,This market will resolve according to the next date  in ET  on which Lighter performs an airdrop on.   If Lighter launches a memecoin and performs an airdrop of that token within this market's timeframe  it will qualify for a "Yes" resolution.  For the purposes of this market "locked" tokens or non-swappable tokens will not suffice to resolve this market to "Yes". Airdrops of NFTs will not qualify.  The primary resolution source for this market is on-chain information and official information from Lighter  however a consensus of credible reporting will also be used.
701907,will-plasma-dip-to-0pt20-by-december-31-2026-382-685-558-171-163,Will Plasma dip to $0.20 by December 31  2026?,This market will immediately resolve to “Yes” if any Binance 1-minute candle for XPL (XPL/USDT) between November 24  2025  17:35 and December 31  2026  23:59 in the ET timezone has a final “Low” price equal to or lower than the price specified in the title. Otherwise  this market will resolve to “No.”  The resolution source for this market is Binance  specifically the XPL/USDT “Low” prices available at: https://www.binance.com/en/trade/XPL_USDT with the chart set to “1m” (one-minute candles) on the top bar.  Please note that the outcome of this market depends solely on the price data from the Binance XPL/USDT trading pair. Prices from other exchanges  different trading pairs  or spot markets will not be considered for the resolution of this market.
1058125,brevis-fdv-above-100m-one-day-after-launch,Brevis FDV above $100M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Brevis's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Brevis (https://x.com/brevis_zk) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1058126,brevis-fdv-above-200m-one-day-after-launch,Brevis FDV above $200M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Brevis's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Brevis (https://x.com/brevis_zk) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
704134,will-tempo-launch-a-token-by-december-31-2025,Will Tempo launch a token by December 31 2025?,This market will resolve to “Yes” if Tempo (https://tempo.xyz/) officially launches a governance token by 11:59 PM ET on the date specified in the title. Otherwise  this market will resolve to “No”.  The token must be actively and publicly transferable and tradable. Announcements alone do not qualify.  The primary resolution source for this market will be information from Tempo  however a consensus of credible reporting will also be used.
690704,sentient-fdv-above-2b-one-day-after-launch-857,Sentient FDV above $2B one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Sentient's token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Sentient doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1167924,seeker-fdv-above-800m-one-day-after-launch-755-429,Seeker FDV above $800M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Seeker's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Seeker (https://x.com/solanamobile) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
814134,humidifi-fdv-above-300m-one-day-after-launch-446,HumidiFi FDV above $300M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of HumidiFi's token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If HumidiFi doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
973199,trove-fdv-above-20m-one-day-after-launch-722-667-974,Trove FDV above $20M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Trove's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Trove doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1271641,over-15m-committed-to-the-fabric-public-sale,Over $15M committed to the Fabric public sale?,This market will resolve to “Yes” if total commitments for the Fabric raise on Kaito exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://kaito.ai/capital-launchpad/73ca8145db584058aaa4?projectName=Fabric  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
1175407,owlto-fdv-above-800m-one-day-after-launch,Owlto FDV above $800M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Owlto's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Owlto (https://x.com/Owlto_Finance) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1143796,will-tria-launch-a-token-by-september-30-2026,Will Tria launch a token by September 30  2026?,This market will resolve to “Yes” if Tria officially launches a governance token by 11:59 PM ET on the date specified in the title. Otherwise  this market will resolve to “No”.  The token must be actively and publicly transferable and tradable. Announcements alone do not qualify.  The primary resolution source for this market will be information from Tria (https://x.com/useTria)  however a consensus of credible reporting will also be used.
690688,will-pacifica-launch-a-token-by-december-31-2025,Will Pacifica launch a token by December 31 2025?,This market will resolve to “Yes” if Pacifica (https://x.com/pacifica_fi) officially launches a governance token by 11:59 PM ET on the date specified in the title. Otherwise  this market will resolve to “No”.  The token must be actively and publicly transferable and tradable. Announcements alone do not qualify.  The primary resolution source for this market will be information from Pacifica  however a consensus of credible reporting will also be used.
701873,will-pumpfun-dip-to-0pt0018-by-december-31-2026,Will Pump.fun dip to $0.0018 by December 31  2026?,This market will immediately resolve to “Yes” if any Binance 1-minute candle for Pump.fun (PUMP/USDT) between November 24  2025  17:00 and December 31  2026  23:59 in the ET timezone has a final “Low” price equal to or lower than the price specified in the title. Otherwise  this market will resolve to “No.”  The resolution source for this market is Binance  specifically the PUMP/USDT “Low” prices available at: https://www.binance.com/en/trade/PUMP_USDT with the chart settings on “1m” (one-minute candles) selected on the top bar.  Please note that the outcome of this market depends solely on the price data from the Binance PUMP/USDT trading pair. Prices from other exchanges  different trading pairs  or spot markets will not be considered for the resolution of this market.
1116644,over-10m-committed-to-the-trove-public-sale,Over $10M committed to the Trove public sale?,This market will resolve to “Yes” if total commitments for the Trove raise exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://trovemarkets.com/ico  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
