slug,type,domain,occurrence_or_deadline_ddmmyyyy,status,error
will-tria-launch-a-token-by-december-31-2026,2,finance,31/12/2026,ok,
zama-fdv-above-1b-one-day-after-launch-982-994-263-734,2,finance,31/12/2026,ok,
will-hyperliquid-dip-to-28-by-december-31-2026,2,finance,31/12/2026,ok,
will-kodiak-launch-a-token-by-march-31-2026,2,finance,31/03/2026,ok,
will-kodiak-launch-a-token-by-june-30-2026,2,finance,30/06/2026,ok,
will-kodiak-launch-a-token-by-december-31-2026,2,finance,31/12/2026,ok,
canton-fdv-above-6b-one-day-after-launch,2,finance,31/12/2026,ok,
over-1m-committed-to-the-bitway-public-sale,2,finance,31/12/2026,ok,
seeker-fdv-above-150m-one-day-after-launch,2,finance,31/12/2026,ok,
lighter-airdrop-on-january-4-943,1,finance,04/01/2024,ok,
over-2m-committed-to-the-trove-public-sale,2,finance,31/12/2026,ok,
brevis-fdv-above-600m-one-day-after-launch,2,finance,31/12/2026,ok,
will-plasma-dip-to-0pt80-by-december-31-2026,2,finance,31/12/2026,ok,
will-pumpfun-reach-0pt0030-by-december-31-2026,2,finance,31/12/2026,ok,
canton-fdv-above-14b-one-day-after-launch-517-712,2,finance,31/12/2026,ok,
will-bnb-dip-to-700-by-december-31-2026,2,finance,31/12/2026,ok,
canton-fdv-above-5b-one-day-after-launch,2,finance,31/12/2026,ok,
humidifi-fdv-above-80m-one-day-after-launch,2,finance,31/12/2026,ok,
ethgas-fdv-above-1b-one-day-after-launch,2,finance,31/12/2026,ok,
will-ethgas-launch-a-token-by-june-30-2026,2,finance,30/06/2026,ok,
will-chainlink-dip-to-12-by-december-31-2026,2,finance,31/12/2026,ok,
moonbirds-fdv-above-100m-one-day-after-launch,2,finance,31/12/2026,ok,
bitcoin-below-microstrategy-average-buy-price-in-2026,2,finance,31/12/2026,ok,
vooi-fdv-above-800m-one-day-after-launch-548-543-223-386,2,finance,31/12/2026,ok,
trove-fdv-above-80m-one-day-after-launch-933-579-558,2,finance,31/12/2026,ok,
brevis-fdv-above-400m-one-day-after-launch,2,finance,31/12/2026,ok,
moonbirds-fdv-above-400m-one-day-after-launch,2,finance,31/12/2026,ok,
lighter-fdv-above-2b-one-day-after-launch,2,finance,31/12/2026,ok,
zama-auction-clearing-price-above-0pt20,2,finance,31/12/2026,ok,
over-2m-committed-to-the-bitway-public-sale,2,finance,31/12/2026,ok,
doublezero-fdv-above-1b-one-day-after-launch,2,finance,31/12/2026,ok,
immunefi-fdv-above-200m-one-day-after-launch,2,finance,31/12/2026,ok,
sentient-fdv-above-600m-one-day-after-launch,2,finance,31/12/2026,ok,
will-backpack-launch-a-token-by-december-31,2,finance,31/12/2024,ok,
lighter-airdrop-on-january-9-893,1,finance,09/01/2024,ok,
lighter-airdrop-on-january-6-962,1,finance,06/01/2024,ok,
humidifi-fdv-above-800m-one-day-after-launch-413,2,finance,31/12/2026,ok,
hyperswap-fdv-above-40m-one-day-after-launch,2,finance,31/12/2026,ok,
ethgas-fdv-above-100m-one-day-after-launch,2,finance,31/12/2026,ok,
seeker-fdv-above-600m-one-day-after-launch-918-212,2,finance,31/12/2026,ok,
ranger-fdv-above-15m-one-day-after-launch,2,finance,31/12/2026,ok,
immunefi-fdv-above-800m-one-day-after-launch,2,finance,31/12/2026,ok,
vooi-fdv-above-500m-one-day-after-launch-119-392-563-692,2,finance,31/12/2026,ok,
will-kodiak-launch-a-token-by-december-31-2025,2,finance,31/12/2025,ok,
will-ethgas-launch-a-token-by-september-30-2026,2,finance,30/09/2026,ok,
ethgas-fdv-above-800m-one-day-after-launch,2,finance,31/12/2026,ok,
will-cryptopunks-floor-price-reach-30-eth-before-2027,2,finance,31/12/2026,ok,
vooi-fdv-above-2b-one-day-after-launch-134-735-849-244,2,finance,31/12/2026,ok,
will-chainlink-reach-14-by-december-31-2026,2,finance,31/12/2026,ok,
lighter-airdrop-on-january-10-559,,,,error,invalid_response
over-40m-committed-to-the-infinex-public-sale-334-286-159,2,finance,31/12/2026,ok,
will-aster-dip-to-1pt00-by-december-31-2026,2,finance,31/12/2026,ok,
over-10m-committed-to-the-fabric-public-sale,2,finance,31/12/2026,ok,
ethgas-fdv-above-700m-one-day-after-launch,2,finance,31/12/2026,ok,
will-hyperliquid-reach-34-by-december-31-2026,2,finance,31/12/2026,ok,
no-airdrop-by-january-10,,,,error,invalid_response
moonbirds-fdv-above-600m-one-day-after-launch,2,finance,31/12/2026,ok,
over-5m-committed-to-the-sol-raffle-public-sale,2,finance,31/12/2026,ok,
will-lighter-dip-to-1pt5-before-2027-932,2,finance,31/12/2026,ok,
trove-fdv-above-60m-one-day-after-launch-852-882-423,2,finance,31/12/2026,ok,
over-20m-committed-to-the-fabric-public-sale,2,finance,31/12/2026,ok,
canton-fdv-above-3b-one-day-after-launch,2,finance,31/12/2026,ok,
over-30m-committed-to-the-trove-public-sale,2,finance,31/12/2026,ok,
tria-fdv-above-800m-one-day-after-launch,2,finance,31/12/2026,ok,
will-aster-dip-to-0pt80-by-december-31-2026,2,finance,31/12/2026,ok,
will-the-bitcoin-volatility-index-hit-50-in-2026,2,finance,31/12/2026,ok,
over-3m-committed-to-the-sol-raffle-public-sale,2,finance,31/12/2026,ok,
harmonix-fdv-above-15m-one-day-after-launch-sr7l-453,2,finance,31/12/2026,ok,
harmonix-fdv-above-100m-one-day-after-launch-285-463,2,finance,31/12/2026,ok,
will-xrp-dip-to-1pt60-by-december-31-2026,2,finance,31/12/2026,ok,
moonbirds-fdv-above-500m-one-day-after-launch,2,finance,31/12/2026,ok,
tria-fdv-above-100m-one-day-after-launch,2,finance,31/12/2026,ok,
over-20m-committed-to-the-trove-public-sale-822,2,finance,31/12/2026,ok,
over-22m-committed-to-the-space-public-sale,2,misc,31/12/2026,ok,
will-infrared-launch-a-token-by-june-30-2026,2,finance,30/06/2026,ok,
will-bitcoin-reach-90000-by-december-31-2026-164,2,finance,31/12/2026,ok,
over-3m-committed-to-the-infinex-public-sale-347,2,finance,31/12/2026,ok,
infinex-fdv-above-3b-one-day-after-launch-311-321-238-617-497-857,2,finance,31/12/2026,ok,
fogo-fdv-above-1b-one-day-after-launch-639-288,2,finance,31/12/2026,ok,
lighter-airdrop-on-january-2-364,2,finance,31/12/2024,ok,
seeker-fdv-above-200m-one-day-after-launch-958-737,2,finance,31/12/2026,ok,
infinex-fdv-above-2b-one-day-after-launch-941-871-567-919-368-914,2,finance,31/12/2026,ok,
fogo-fdv-above-3b-one-day-after-launch-117-625,2,finance,31/12/2026,ok,
over-2m-committed-to-the-sol-raffle-public-sale,2,finance,31/12/2026,ok,
brevis-fdv-above-700m-one-day-after-launch,2,finance,31/12/2026,ok,
owlto-fdv-above-600m-one-day-after-launch,2,finance,31/12/2026,ok,
zama-auction-clearing-price-above-0pt04,2,finance,31/12/2026,ok,
humidifi-fdv-above-400m-one-day-after-launch-448,2,finance,31/12/2026,ok,
will-trove-launch-a-token-by-september-30-2026,2,finance,30/09/2026,ok,
kodiak-fdv-above-50m-one-day-after-launch,2,finance,31/12/2026,ok,
owlto-fdv-above-700m-one-day-after-launch,2,finance,31/12/2026,ok,
trove-fdv-above-5m-one-day-after-launch-658,2,finance,31/12/2026,ok,
will-bnb-dip-to-800-by-december-31-2026,2,finance,31/12/2026,ok,
kodiak-fdv-above-150m-one-day-after-launch,2,finance,31/12/2026,ok,
elsa-fdv-above-20m-one-day-after-launch,2,finance,31/12/2026,ok,
zama-auction-clearing-price-above-0pt05,2,finance,31/12/2026,ok,
seeker-fdv-above-100m-one-day-after-launch-355,2,finance,31/12/2026,ok,
ethgas-fdv-above-600m-one-day-after-launch,2,finance,31/12/2026,ok,
will-fogo-launch-a-token-by-december-31-2026,2,finance,31/12/2026,ok,
will-aster-dip-to-0pt60-by-december-31-2026,2,finance,31/12/2026,ok,
ranger-fdv-above-30m-one-day-after-launch,2,finance,31/12/2026,ok,
moonbirds-fdv-above-50m-one-day-after-launch,2,finance,31/12/2026,ok,
will-zcash-dip-to-300-by-december-31-2026,2,finance,31/12/2026,ok,
will-almanak-fdv-above-100m-one-day-after-launch-683,2,finance,31/12/2026,ok,
over-10m-committed-to-the-bitway-public-sale,2,finance,31/12/2026,ok,
zama-auction-clearing-price-above-0pt03,2,finance,31/12/2026,ok,
will-xrp-dip-to-1pt40-by-december-31-2026,2,finance,31/12/2026,ok,
tria-fdv-above-20m-one-day-after-launch,2,finance,31/12/2026,ok,
seeker-fdv-above-400m-one-day-after-launch-729-419,2,finance,31/12/2026,ok,
will-plasma-dip-to-0pt40-by-december-31-2026,2,finance,31/12/2026,ok,
owlto-fdv-above-400m-one-day-after-launch,2,finance,31/12/2026,ok,
zama-auction-clearing-price-above-0pt09,2,finance,31/12/2026,ok,
over-20m-committed-to-the-space-public-sale,2,misc,31/12/2026,ok,
fogo-fdv-above-2b-one-day-after-launch-831-843,2,finance,31/12/2026,ok,
lighter-fdv-above-3b-one-day-after-launch,2,finance,31/12/2026,ok,
moonbirds-fdv-above-200m-one-day-after-launch,2,finance,31/12/2026,ok,
lighter-airdrop-on-january-1-797,,,,error,invalid_response
will-lighter-dip-to-2-before-2027-185,2,finance,31/12/2026,ok,
will-bitcoin-dip-to-75000-by-december-31-2026-333,2,finance,31/12/2026,ok,
lighter-fdv-above-4b-one-day-after-launch,2,finance,31/12/2026,ok,
sentient-fdv-above-800m-one-day-after-launch,2,finance,31/12/2026,ok,
tria-fdv-above-50m-one-day-after-launch,2,finance,31/12/2026,ok,
over-8m-committed-to-the-trove-public-sale,2,finance,31/12/2026,ok,
trove-fdv-above-100m-one-day-after-launch-778-984-974,2,finance,31/12/2026,ok,
lighter-airdrop-on-january-7-447,1,finance,07/01/2024,ok,
immunefi-fdv-above-1pt2b-one-day-after-launch,2,finance,31/12/2026,ok,
will-zcash-dip-to-400-by-december-31-2026,2,finance,31/12/2026,ok,
will-hyperliquid-hip-3-open-interest-hit-1b-in-2026,2,finance,31/12/2026,ok,
will-jannik-sinner-win-a-calendar-grand-slam-in-2026-634,2,sports,31/12/2026,ok,
xabi-alonso-out-as-real-madrid-manager-in-2026,2,sports,31/12/2026,ok,
will-taylor-fritz-win-a-calendar-grand-slam-in-2026-422,2,sports,31/12/2026,ok,
will-amanda-anisimova-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-elina-svitolina-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-any-other-male-player-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-belinda-bencic-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-another-player-win-a-calendar-grand-slam-in-2026-491,2,sports,31/12/2026,ok,
will-novak-djokovic-win-a-calendar-grand-slam-in-2026-986,2,sports,31/12/2026,ok,
will-qinwen-zheng-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-mirra-andreeva-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-emma-raducanu-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-jessica-pegula-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-nick-kyrgios-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-iga-swiatek-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-naomi-osaka-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-jasmine-paolini-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-ben-shelton-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-victoria-azarenka-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-aryna-sabalenka-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-daniil-medvedev-win-a-calendar-grand-slam-in-2026-828,2,sports,31/12/2026,ok,
will-coco-gauff-win-a-calendar-grand-slam-in-2026,2,sports,31/12/2026,ok,
will-alexander-zverev-win-a-calendar-grand-slam-in-2026-855,2,sports,31/12/2026,ok,
ndx-hit-25000-low-dec-2026,2,finance,31/12/2026,ok,
trump-cabinet-member-out-by-december-31-2026,2,politics,31/12/2026,ok,
maduro-out-by-december-31-2026-334-766,2,politics,31/12/2026,ok,
will-friedrich-merz-be-the-next-leader-out-before-2027-856,2,politics,31/12/2026,ok,
will-no-listed-leader-be-out-before-2027-199,2,politics,31/12/2026,ok,
will-the-us-strike-mexico-next-131,2,politics,31/12/2026,ok,
duplicate-will-tulsi-gabbard-be-the-first-to-leave-the-trump-cabinet-before-2027,2,politics,31/12/2026,ok,
will-the-us-strike-venezuela-next-417,2,politics,31/12/2026,ok,
will-trump-meet-with-javier-milei-in-2026,2,politics,31/12/2026,ok,
will-irobot-announce-bankruptcy-before-2027-836-195-544-548-927,2,finance,31/12/2026,ok,
will-the-us-strike-2-countries-in-2026,2,politics,31/12/2026,ok,
insurrection-act-invoked-by-january-31-674,2,politics,31/01/2026,ok,
will-there-be-at-least-500-measles-cases-in-the-us-in-2026,2,misc,31/12/2026,ok,
duplicate-will-brooke-rollins-be-the-first-to-leave-the-trump-cabinet-before-2027,2,politics,31/12/2026,ok,
will-volodymyr-zelenskyy-be-the-next-leader-out-before-2027,2,politics,31/12/2026,ok,
will-the-us-not-strike-another-country-before-2027-722,2,politics,31/12/2026,ok,
will-the-10-year-treasury-yield-hit-4pt3-before-2027-562,2,finance,31/12/2026,ok,
will-the-us-strike-iraq-next-339,2,politics,31/12/2026,ok,
will-the-us-strike-another-country-first-161,2,politics,31/12/2026,ok,
will-call-of-duty-black-ops-7-have-a-metascore-between-75-and-85,2,misc,31/12/2026,ok,
will-scott-turner-be-the-first-to-leave-the-trump-cabinet-before-2027-633,2,politics,31/12/2026,ok,
will-the-us-strike-iran-next-985,2,politics,31/12/2026,ok,
will-the-us-strike-colombia-next-254,2,politics,31/12/2026,ok,
will-iran-close-the-strait-of-hormuz-by-january-31,2,politics,31/01/2026,ok,
will-the-us-strike-nigeria-next-297,2,politics,31/12/2026,ok,
duplicate-will-sean-duffy-be-the-first-to-leave-the-trump-cabinet-before-2027,2,politics,31/12/2026,ok,
duplicate-will-stephen-miran-be-the-first-to-leave-the-trump-cabinet-before-2027,2,politics,31/12/2026,ok,
will-the-us-strike-another-country-first,2,politics,31/12/2026,ok,
will-the-us-strike-iraq-next-182,2,politics,31/12/2026,ok,
will-aap-rocky-release-a-new-song-in-2026,2,misc,31/12/2026,ok,
will-pam-bondi-be-the-first-to-leave-the-trump-cabinet-before-2027-747,2,politics,31/12/2026,ok,
will-howard-lutnick-be-the-first-to-leave-the-trump-cabinet-before-2027-734,2,politics,31/12/2026,ok,
will-marco-rubio-be-the-first-to-leave-the-trump-cabinet-before-2027-573,2,politics,31/12/2026,ok,
will-dan-bongino-leave-the-trump-administration-before-2027,2,politics,31/12/2026,ok,
xai-ipo-before-2027,2,finance,31/12/2026,ok,
will-the-feds-lower-bound-reach-3pt5-or-lower-before-2027,2,finance,31/12/2026,ok,
will-the-us-strike-cuba-next-862,2,politics,31/12/2026,ok,
will-the-us-strike-syria-next-564,2,politics,31/12/2026,ok,
will-scott-bessent-be-the-first-to-leave-the-trump-cabinet-before-2027-293,2,politics,31/12/2026,ok,
will-cesc-fabregas-be-the-next-chelsea-manager,2,sports,31/12/2026,ok,
will-jd-vance-be-the-first-to-leave-the-trump-cabinet-before-2027-838,2,politics,31/12/2026,ok,
will-trump-meet-with-maria-corina-machado-in-2026,2,politics,31/12/2026,ok,
will-israel-strike-0-countries-in-2026,2,politics,31/12/2026,ok,
will-xi-jinping-be-the-next-leader-out-before-2027,2,politics,31/12/2026,ok,
will-the-us-strike-another-country-first-397,2,politics,31/12/2026,ok,
will-emmanuel-macron-be-the-next-leader-out-before-2027,2,politics,31/12/2026,ok,
will-the-us-strike-another-country-first-879,2,politics,31/12/2026,ok,
will-the-us-strike-syria-next,2,politics,31/12/2026,ok,
will-kelly-loeffler-be-the-first-to-leave-the-trump-cabinet-before-2027-698,2,politics,31/12/2026,ok,
will-jamieson-greer-be-the-first-to-leave-the-trump-cabinet-before-2027-828,2,politics,31/12/2026,ok,
wealthfront-ipo-before-2027,2,finance,31/12/2026,ok,
will-the-us-strike-1-country-in-2026,2,politics,31/12/2026,ok,
will-recep-tayyip-erdoan-be-the-next-leader-out-before-2027,2,politics,31/12/2026,ok,
will-the-us-strike-iraq-next-272,2,politics,31/12/2026,ok,
will-the-us-strike-syria-next-695,2,politics,31/12/2026,ok,
will-the-us-strike-somalia-next-637,2,politics,31/12/2026,ok,
will-the-us-strike-somalia-next-267,2,politics,31/12/2026,ok,
us-strike-on-mexico-by-january-31,2,politics,31/01/2024,ok,
will-anthony-albanese-be-the-next-leader-out-before-2027,2,politics,31/12/2026,ok,
will-the-us-strike-venezuela-next-554,2,politics,31/12/2026,ok,
will-yoon-be-sentenced-to-prison-before-2027,2,politics,31/12/2026,ok,
duplicate-will-john-ratcliffe-be-the-first-to-leave-the-trump-cabinet-before-2027,2,politics,31/12/2026,ok,
will-susie-wiles-be-the-first-to-leave-the-trump-cabinet-before-2027-579,2,politics,31/12/2026,ok,
will-the-us-strike-another-country-first-118,2,politics,31/12/2026,ok,
duplicate-will-mike-waltz-be-the-first-to-leave-the-trump-cabinet-before-2027,2,politics,31/12/2026,ok,
will-the-us-strike-iran-next-116,2,politics,31/12/2026,ok,
will-vladimir-putin-be-the-next-leader-out-before-2027,2,politics,31/12/2026,ok,
will-xavi-hernandez-be-the-next-chelsea-manager,2,sports,31/12/2026,ok,
will-the-us-strike-mexico-next,2,politics,31/12/2026,ok,
will-the-us-strike-somalia-next-795,2,politics,31/12/2026,ok,
will-donald-trump-visit-florida-in-2026,2,politics,31/12/2026,ok,
will-francesco-farioli-be-the-next-chelsea-manager,2,sports,31/12/2026,ok,
will-no-one-leave-the-trump-cabinet-before-2027,2,politics,31/12/2026,ok,
will-nicols-maduro-be-the-next-leader-out-before-2027,2,politics,31/12/2026,ok,
duplicate-will-marco-rubio-be-the-first-to-leave-the-trump-cabinet-before-2027,2,politics,31/12/2026,ok,
ai-industry-downturn-by-december-31-2025,2,finance,31/12/2025,ok,
will-the-us-strike-syria-next-916,2,politics,31/12/2026,ok,
will-robert-de-zerbi-be-the-next-chelsea-manager,2,sports,31/12/2026,ok,
will-larry-ellisonoracle-acquire-tiktok-835-636-575,2,misc,30/06/2026,ok,
will-javier-milei-be-the-next-leader-out-before-2027,2,politics,31/12/2026,ok,
will-mike-waltz-be-the-first-to-leave-the-trump-cabinet-before-2027-714,2,politics,31/12/2026,ok,
will-gavin-newsom-announce-a-presidential-run-by-december-31-2025,2,politics,31/12/2025,ok,
will-tulsi-gabbard-be-the-first-to-leave-the-trump-cabinet-before-2027-126,2,politics,31/12/2026,ok,
will-harry-styles-have-a-1-song-on-the-billboard-hot-100-in-2026,2,misc,31/12/2026,ok,
duplicate-will-lee-zeldin-be-the-first-to-leave-the-trump-cabinet-before-2027,2,politics,31/12/2026,ok,
duplicate-will-chris-wright-be-the-first-to-leave-the-trump-cabinet-before-2027,2,politics,31/12/2026,ok,
will-the-us-strike-colombia-next-539,2,politics,31/12/2026,ok,
will-chatgpt-be-out-as-the-1-free-app-in-the-us-apple-store-by-june-30,2,misc,30/06/2026,ok,
will-keir-starmer-be-the-next-leader-out-before-2027,2,politics,31/12/2026,ok,
will-the-us-strike-cuba-next-189,2,politics,31/12/2026,ok,
will-trump-meet-with-volodymyr-zelenskyy-in-2026,2,politics,31/12/2026,ok,
will-the-us-strike-colombia-next,2,politics,31/12/2026,ok,
duplicate-will-robert-f-kennedy-jr-be-the-first-to-leave-the-trump-cabinet-before-2027,2,politics,31/12/2026,ok,
will-the-us-not-strike-another-country-before-2027-957,2,politics,31/12/2026,ok,
will-john-ratcliffe-be-the-first-to-leave-the-trump-cabinet-before-2027-929,2,politics,31/12/2026,ok,
will-sanae-takaichi-be-the-next-leader-out-before-2027,2,politics,31/12/2026,ok,
